"","V_plasma","V_inter","V_muscle","kgut","Km","Vmax","m_K_ALDO","P_ECF","FF","GFR","dtKsec_eq","A_dtKsec","B_dtKsec","cdKsec_eq","A_cdKsec","B_cdKsec","A_cdKreab","A_insulin","B_insulin","KMuscleBase","Kecf_base","ALD_eq","etapsKreab"
"1944",-6.39442788639144e-05,2.13809028082323e-06,1.65935207974144e-06,-4.35305167911792e-07,-10.1028603251555,1.10367791705812e-06,-11.5834913165969,-1.95964192073461e-06,0,-9.02590721741402,-32.3673906096084,-78.0272803630456,-83.6214496503846,-3.20098038861866,-5.14684099170933,-10.646908114592,50.2275231756382,0,0,16.5489132023675,-5.57418200003716,10.5932485116077,33.351545984327
"1945",1.21305615152778e-06,-1.44512753763593e-06,-1.68978431247524e-08,1.5591457724895e-07,-5.13677068787308,-2.6294358690393e-08,-1.96207159699882,-3.34383145172978e-07,-5.89471511602823e-08,-9.28499379510217,-11.3820679292479,-25.0802803128998,-23.9961511900438,-0.583113072844909,-1.12533429356013,-1.18537006494989,24.9770622762666,0,0,15.927529686505,-16.6117929120634,37.4861621118086,33.0604376145256
"1946",9.04248196320623e-08,-3.76786601918866e-10,-3.31838236888871e-08,0.000246383689002982,1.66562162742847,5.07641289004823e-08,-2.1348040350516,-4.49688286607852e-10,1.00359784482862e-07,-16.3169770772617,-11.273992444777,-27.9465134982164,-16.1457133699263,-1.66631971557294,-5.50818041269492,-6.78037978476425,45.3064157802793,20.0659956840695,72.3687549825984,20.0584801288786,-17.7689752505994,79.2691518730361,38.4322018136801
"1947",0.000194373104619672,1.96425276044465e-09,2.23565166379558e-10,-1.30766437678176e-07,1.41099873807528,1.30661510411301e-06,5.66545890965179,-1.21359562399448e-08,0,-39.9624005531589,-55.9744734348777,-72.0660618797821,-99.7339522978643,-8.75484066203165,-17.7423766679749,-37.8322107470886,136.423038621962,0,0,24.3753116849391,-44.4750543000912,120.551915754715,122.629801308395
"1948",1.45573153531586e-08,-5.58318959065218e-07,1.30063102687928e-06,-1.11817627157507e-07,2.12716572205497,3.27806569089262e-06,0.452277939599611,-3.5491609651217e-09,1.11056308469415e-05,-20.6681244452452,-103.340238266867,-141.558894937283,-245.116900552482,-6.60285035299725,-22.5755815677644,-45.846002122082,153.403387980282,0,0,24.0534198891214,-25.957216126569,37.889712269327,128.408381768522
"1949",-8.6458840087289e-11,2.69321844825754e-08,1.17154286272125e-10,9.93202320387354e-09,-1.29762017671629,1.69592340171221e-10,-3.19181941892088,-2.50306015914248e-08,-1.04991215721384e-09,-22.9440415194683,-33.188301102323,-54.92192718908,-58.6901597241415,-5.69948185259489,-4.33742876336874,-19.2960936158986,76.3279487852294,0,0,20.6045673439174,-37.990182699096,53.2429667679199,66.6381750393172
"1950",3.5811353882309e-10,-5.11334974362398e-10,-6.00351768298423e-10,3.81646714231465e-10,3.11271690781086,3.07210257233237e-10,31.1753070719153,7.36659071662872e-05,-6.44604369881563e-11,-36.903651028493,-51.6246095942458,-91.1989871732673,-100.166312350756,-12.6579661600755,-16.5659941233343,-36.9123042722773,129.860103198749,0,0,30.2983364737575,-44.4799781249309,102.739760801287,189.876804145696
"1951",1.07948210370523e-08,9.2794891770609e-09,-2.49324938295104e-05,2.45770763740438e-08,-4.62791048358199,6.33093577562249e-10,-19.0758334643984,-9.32911348172639e-09,8.44124770082999e-11,-17.3884393591405,-70.2824611999663,-79.3946382259912,-108.842962321106,-4.76093420162651,-7.21691926566168,-21.6829639278946,128.699786742507,0,0,23.8331821689808,-36.9000249749984,34.2976497389404,90.3408699416866
"1952",-1.15127082267463e-06,-1.51110714341485e-06,-7.79766651248791e-09,-8.54397333682754e-06,-5.61431607408746,2.97207378707753e-08,-9.95726869196652,-3.79224498203712e-06,-9.71524684700853e-07,-12.9437399026307,-14.5238655407332,-26.1553598744356,-25.6866702437369,-2.70264990392929,-7.78263892265966,-10.7223128490993,33.159917673283,0,0,15.8766726241108,-20.0498120578458,11.8433492701318,50.7657820067553
"1953",-4.44926655518429e-07,-6.95006036721679e-07,1.11485860543325e-08,3.93694037370551e-07,-5.81293371378291,1.71463483411571e-08,-13.4228283938237,4.01274661498974e-07,3.0874349477017e-07,-12.0783879990256,-25.8336697977283,-31.5990483761234,-40.7073745408129,-1.19680408144473,-2.63461142298951,-3.2688755636684,43.4560249736694,0,0,15.2617290658979,-18.9542225866199,20.2017299729893,34.860338684723
